% god. mj. dan. sat. NE  NW
 2003  5 19 23 -0.5460  7.9045
 2003  5 20  0 -2.1743 10.3798
 2003  5 20  1 -2.7699 10.8039
 2003  5 20  2 -2.5847 10.9925
 2003  5 20  3 -0.6498  5.6456
 2003  5 20  4 -3.0314  5.6438
 2003  5 20  5 -4.5330 -0.2907
 2003  5 20  6 -3.7085 -4.2296
 2003  5 20  7 -0.2677 -7.4125
 2003  5 20  8  1.8541 -8.8786
 2003  5 20  9  3.4553 -9.0394
 2003  5 20 10  6.1032 -6.1321
 2003  5 20 11  6.9808 -2.3011
 2003  5 20 12  3.4884 -0.3345
 2003  5 20 13  0.8450 -0.3806
 2003  5 20 14 -0.6362  0.1840
 2003  5 20 15 -1.2183  0.2786
 2003  5 20 16 -0.9484  0.8616
 2003  5 20 17 -1.7308  0.7056
 2003  5 20 18 -2.9279 -1.7249
 2003  5 20 19 -1.7780 -3.9623
 2003  5 20 20  0.6367 -4.5794
 2003  5 20 21  4.2023 -3.1725
 2003  5 20 22  4.5995 -0.3385
 2003  5 20 23  3.5658  1.6375
 2003  5 21  0  4.3261  3.8957
 2003  5 21  1  4.2124  4.5310
 2003  5 21  2  2.9816  7.4475
 2003  5 21  3  2.6281  6.7652
 2003  5 21  4  5.2799  5.2852
 2003  5 21  5  3.1754  7.0009
 2003  5 21  6 -2.4443  0.1355
 2003  5 21  7 -7.4859 -4.5863
 2003  5 21  8 -6.0916 -12.7595
 2003  5 21  9 -4.5032 -19.3357
 2003  5 21 10  0.6197 -19.3896
 2003  5 21 11  0.7251 -18.3850
 2003  5 21 12  0.4553 -16.0657
 2003  5 21 13  1.6569 -18.1411
 2003  5 21 14  3.1308 -23.1773
 2003  5 21 15  9.1537 -24.6323
 2003  5 21 16  4.4277 -16.0761
 2003  5 21 17  4.3840 -12.7583
 2003  5 21 18  4.3292 -10.7312
 2003  5 21 19  0.8325 -9.8353
 2003  5 21 20  1.3262 -13.6693
 2003  5 21 21 -2.0134 -17.0686
 2003  5 21 22 -4.4925 -16.3419
 2003  5 21 23 -3.1118 -11.6461
 2003  5 22  0 -6.4566 -6.4357
 2003  5 22  1 -11.9033 -1.5639
 2003  5 22  2 -17.3864  0.1567
 2003  5 22  3 -22.6684 -2.5681
 2003  5 22  4 -23.7724 -5.9860
 2003  5 22  5 -25.5777 -11.7576
 2003  5 22  6 -20.2799 -19.0903
 2003  5 22  7 -14.1594 -20.1336
 2003  5 22  8 -2.6868 -17.3527
 2003  5 22  9  1.5930 -16.9712
 2003  5 22 10  2.9477 -15.9782
 2003  5 22 11  1.1666 -25.4405
 2003  5 22 12  3.2772 -31.1862
 2003  5 22 13  9.7631 -32.0837
 2003  5 22 14 14.9152 -24.0861
 2003  5 22 15 18.0770 -10.7629
 2003  5 22 16 12.6942  1.3625
 2003  5 22 17  6.8448  9.0279
 2003  5 22 18  2.8497 13.3784
 2003  5 22 19 -6.6367 12.8513
 2003  5 22 20 -14.0787  6.2714
 2003  5 22 21 -17.2773  1.3386
 2003  5 22 22 -18.6440 -3.6403
 2003  5 22 23 -19.2955 -8.7833
 2003  5 23  0 -17.1265 -15.4302
 2003  5 23  1 -16.0841 -17.8097
 2003  5 23  2 -12.5452 -18.5300
 2003  5 23  3 -10.2554 -18.3323
 2003  5 23  4 -6.7216 -15.8058
 2003  5 23  5 -4.0859 -13.3460
 2003  5 23  6  1.4792 -12.4208
 2003  5 23  7  4.9212 -13.0762
 2003  5 23  8  8.2453 -14.4511
 2003  5 23  9 11.2601 -11.9335
 2003  5 23 10 13.2709 -12.9143
 2003  5 23 11 13.9843 -9.2011
 2003  5 23 12 10.0358 -9.0460
 2003  5 23 13  6.5032 -6.2528
 2003  5 23 14  4.9537 -5.3084
 2003  5 23 15  2.0592 -2.4538
 2003  5 23 16 -0.4793 -1.0759
 2003  5 23 17 -1.8299  0.0056
 2003  5 23 18 -3.8343  0.4333
 2003  5 23 19 -4.5513 -2.2223
 2003  5 23 20 -4.3719 -0.6116
 2003  5 23 21 -4.6820 -2.8337
 2003  5 23 22 -4.9348 -4.7906
 2003  5 23 23 -3.1064 -7.2718
 2003  5 24  0 -1.8352 -11.2374
 2003  5 24  1  3.3794 -10.7310
 2003  5 24  2  0.1747 -7.1029
 2003  5 24  3  5.0554 -7.2431
 2003  5 24  4  3.6090 -3.7820
 2003  5 24  5  4.5516 -3.1542
 2003  5 24  6  6.3752 -2.0937
 2003  5 24  7  6.6626  1.5384
 2003  5 24  8  5.5603  3.8685
 2003  5 24  9  4.8386  2.0081
